Date,Open,High,Low,Close
20190101, 760.0, 764.4, 758.15, 764.95
20190101, 764.9, 765.7, 756.75, 758.6
20190101, 758.6, 760.5, 758.05, 759.7
20190101, 759.65, 760.5, 756.9, 757.1
20190101, 757.2, 758.95, 756.35, 757.1
20190101, 757.1, 760.1, 756.8, 758.95
20190101, 758.95, 759.3, 752.75, 754.0
20190101, 754.5, 754.65, 748.8, 750.2
20190101, 750.55, 750.8, 746.5, 748.25
20190101, 748.8, 750.6, 748.4, 749.15
20190101, 749.0, 753.8, 748.65, 753.45
20190101, 753.25, 754.3, 751.5, 753.05
20190101, 753.55, 754.7, 753.0, 752.0
20190102, 748.1, 755.8, 746.55, 749.65
20190102, 749.15, 754.3, 749.15, 751.45
20190102, 751.3, 756.35, 751.3, 754.5
20190102, 754.4, 756.15, 753.05, 754.6
20190102, 754.6, 757.4, 753.8, 755.95
20190102, 756.0, 756.1, 754.45, 755.7
20190102, 755.9, 758.35, 751.7, 751.4
20190102, 751.05, 753.4, 748.75, 752.05
20190102, 752.05, 752.8, 746.35, 747.7
20190102, 746.8, 751.45, 744.0, 750.9
20190102, 750.9, 754.7, 749.15, 752.15
20190102, 752.5, 757.75, 750.7, 756.35
20190102, 756.65, 758.45, 755.3, 754.7
20190103, 754.75, 756.0, 749.75, 755.75
20190103, 755.75, 755.95, 753.0, 754.35
20190103, 754.25, 757.95, 750.65, 751.9
20190103, 751.8, 754.15, 750.75, 751.9
20190103, 751.85, 753.0, 747.55, 748.55
20190103, 748.75, 753.0, 748.0, 751.9
20190103, 751.9, 753.0, 750.3, 751.45
20190103, 751.5, 755.5, 751.25, 754.15
20190103, 754.2, 755.0, 750.3, 750.95
20190103, 750.9, 751.95, 746.5, 747.45
20190103, 747.25, 748.55, 744.85, 745.25
20190103, 745.5, 748.5, 744.25, 747.0
20190103, 747.0, 747.9, 745.5, 746.1
20190104, 746.85, 753.3, 744.25, 745.65
20190104, 745.65, 749.0, 743.1, 744.2
20190104, 744.55, 747.1, 743.5, 744.35
20190104, 744.35, 750.0, 743.5, 747.65
20190104, 747.65, 750.9, 745.2, 749.25
20190104, 749.2, 750.0, 747.55, 749.2
20190104, 749.1, 752.45, 748.5, 751.3
20190104, 751.8, 754.2, 750.75, 750.55
20190104, 750.55, 754.8, 749.75, 753.3
20190104, 753.0, 754.55, 752.6, 753.3
20190104, 753.3, 759.25, 752.5, 755.85
20190104, 755.95, 758.9, 754.2, 756.9
20190104, 756.9, 757.5, 755.85, 756.0
20190107, 760.0, 764.85, 759.0, 761.2
20190107, 761.2, 764.2, 760.25, 762.3
20190107, 762.3, 767.75, 762.3, 765.6
20190107, 766.0, 766.65, 763.8, 764.7
20190107, 764.7, 765.45, 762.95, 763.5
20190107, 763.55, 765.3, 763.0, 764.45
20190107, 764.75, 766.2, 764.1, 765.9
20190107, 766.1, 766.3, 764.9, 765.45
20190107, 765.5, 766.1, 765.0, 765.0
20190107, 765.05, 765.65, 762.0, 763.1
20190107, 763.0, 765.75, 762.95, 764.1
20190107, 764.1, 764.7, 761.65, 764.05
20190107, 764.0, 765.5, 762.75, 761.25
20190108, 764.9, 765.0, 755.1, 756.7
20190108, 756.5, 760.35, 756.0, 756.35
20190108, 756.35, 759.9, 755.9, 756.0
20190108, 756.1, 756.15, 748.5, 751.3
20190108, 751.25, 753.0, 748.0, 749.6
20190108, 749.55, 752.3, 749.5, 751.7
20190108, 751.65, 751.95, 750.0, 750.9
20190108, 750.7, 752.0, 749.8, 749.5
20190108, 749.7, 751.1, 748.3, 750.0
20190108, 750.0, 754.15, 749.65, 753.5
20190108, 753.7, 755.9, 752.5, 753.75
20190108, 753.7, 754.25, 750.4, 752.45
20190108, 752.9, 753.55, 751.0, 751.0
20190109, 755.2, 763.5, 755.2, 761.1
20190109, 761.1, 761.15, 758.0, 759.0
20190109, 758.85, 762.45, 758.2, 761.35
20190109, 761.3, 762.4, 759.7, 762.2
20190109, 762.15, 762.2, 759.95, 760.2
20190109, 760.2, 763.25, 759.5, 761.25
20190109, 761.45, 761.5, 758.5, 759.9
20190109, 759.95, 760.9, 759.4, 760.5
20190109, 760.65, 762.5, 760.65, 761.45
20190109, 761.45, 761.45, 753.45, 758.2
20190109, 758.1, 760.5, 756.05, 759.65
20190109, 760.55, 766.6, 758.75, 765.95
20190109, 765.95, 767.0, 764.6, 765.05
20190110, 765.75, 776.8, 765.05, 774.8
20190110, 774.8, 780.0, 772.5, 774.75
20190110, 774.75, 779.5, 774.0, 776.6
20190110, 776.3, 779.2, 776.3, 778.3
20190110, 778.05, 778.5, 776.0, 776.4
20190110, 776.45, 776.6, 773.5, 774.65
20190110, 774.75, 776.9, 774.2, 776.35
20190110, 776.4, 778.35, 773.15, 773.8
20190110, 773.9, 774.25, 771.25, 774.25
20190110, 773.7, 774.85, 772.55, 774.5
20190110, 774.6, 774.6, 772.1, 773.55
20190110, 773.3, 774.9, 772.4, 774.75
20190110, 774.7, 774.75, 770.2, 770.0
20190111, 775.0, 778.0, 773.0, 777.7
20190111, 777.55, 779.9, 775.5, 778.8
20190111, 778.8, 784.3, 778.5, 784.0
20190111, 784.25, 785.5, 781.35, 782.9
20190111, 782.9, 785.5, 782.0, 782.95
20190111, 782.9, 783.9, 782.0, 783.3
20190111, 783.0, 784.9, 783.0, 784.2
